X-axis,Y-axis,Z-axis
-16.2,-1.7866666666666668,15.026666666666667
-16.173333333333336,-1.76,15.026666666666667
-16.16,-1.8666666666666667,15.013333333333334
-16.080000000000002,-1.76,14.973333333333334
-16.253333333333334,-1.7200000000000002,15.066666666666668
-16.28,-1.6800000000000002,15.106666666666667
-16.173333333333336,-1.7466666666666668,14.906666666666668
-16.253333333333334,-1.76,14.946666666666667
-16.240000000000002,-1.8533333333333335,15.026666666666667
-16.14666666666667,-1.8533333333333335,15.000000000000002
-16.186666666666667,-1.8800000000000001,15.066666666666668
-16.040000000000003,-1.9466666666666668,14.986666666666668
-16.2,-1.7333333333333334,15.026666666666667
-16.213333333333335,-1.8133333333333335,14.986666666666668
-16.133333333333333,-1.8133333333333335,14.986666666666668
-16.173333333333336,-1.8533333333333335,15.000000000000002
-16.173333333333336,-1.7466666666666668,15.013333333333334
-16.173333333333336,-1.8800000000000001,14.946666666666667
-16.186666666666667,-1.6933333333333334,14.946666666666667
-16.14666666666667,-1.7866666666666668,15.040000000000001
-16.240000000000002,-1.7200000000000002,15.013333333333334
-16.26666666666667,-1.8,15.026666666666667
-16.253333333333334,-1.8133333333333335,14.893333333333334
-16.253333333333334,-1.84,15.053333333333335
-16.226666666666667,-1.8266666666666669,15.040000000000001
-16.14666666666667,-1.8,14.906666666666668
-16.186666666666667,-1.84,14.88
-16.213333333333335,-1.8133333333333335,14.933333333333334
-16.2,-1.6800000000000002,14.973333333333334
-16.12,-1.8,14.853333333333333
-16.26666666666667,-1.7200000000000002,15.040000000000001
-16.253333333333334,-1.8800000000000001,14.946666666666667
-16.16,-1.6933333333333334,15.040000000000001
-16.240000000000002,-1.7200000000000002,14.906666666666668
-16.26666666666667,-1.76,15.000000000000002
-16.10666666666667,-1.84,14.906666666666668
-16.173333333333336,-1.6800000000000002,14.893333333333334
-16.2,-1.8,14.973333333333334
-16.14666666666667,-1.5733333333333335,14.906666666666668
-16.080000000000002,-1.8666666666666667,14.920000000000002
-16.173333333333336,-1.6533333333333335,15.000000000000002
-16.066666666666666,-1.8266666666666669,14.946666666666667
-16.226666666666667,-1.6666666666666667,14.96
-16.2,-1.8,14.920000000000002
-16.173333333333336,-1.76,14.96
-16.240000000000002,-1.84,15.013333333333334
-16.213333333333335,-1.7200000000000002,14.946666666666667
-16.226666666666667,-1.7066666666666668,15.000000000000002
-16.14666666666667,-1.7733333333333334,14.946666666666667
-16.2,-1.7066666666666668,14.986666666666668
-16.133333333333333,-1.8800000000000001,14.973333333333334
-16.16,-1.76,14.973333333333334
-16.173333333333336,-1.8933333333333335,14.933333333333334
-16.133333333333333,-1.8666666666666667,14.96
-16.080000000000002,-1.6400000000000001,14.96
-16.293333333333333,-1.7200000000000002,14.973333333333334
-16.226666666666667,-1.76,15.026666666666667
-16.213333333333335,-1.6533333333333335,14.933333333333334
-16.16,-1.7333333333333334,14.973333333333334
-16.14666666666667,-1.8666666666666667,15.013333333333334
-16.226666666666667,-1.8266666666666669,14.96
-16.173333333333336,-1.84,14.96
-16.053333333333335,-1.76,14.933333333333334
-16.14666666666667,-1.8,14.973333333333334
-16.240000000000002,-1.6533333333333335,14.986666666666668
-16.16,-1.8133333333333335,14.920000000000002
-16.2,-1.6266666666666667,15.013333333333334
-16.2,-1.7066666666666668,14.973333333333334
-16.213333333333335,-1.6666666666666667,15.000000000000002
-16.213333333333335,-1.7733333333333334,14.986666666666668
-16.2,-1.8266666666666669,15.053333333333335
-16.186666666666667,-1.8,14.986666666666668
-16.2,-1.7733333333333334,14.986666666666668
-16.240000000000002,-1.7466666666666668,14.8
-16.213333333333335,-1.7866666666666668,15.013333333333334
-16.12,-1.7733333333333334,15.066666666666668
-16.26666666666667,-1.7200000000000002,15.013333333333334
-16.093333333333334,-1.7466666666666668,15.013333333333334
-16.173333333333336,-1.7866666666666668,15.013333333333334
-16.213333333333335,-1.7066666666666668,15.000000000000002
-16.186666666666667,-1.7866666666666668,15.040000000000001
-16.30666666666667,-1.6800000000000002,14.946666666666667
-16.2,-1.8666666666666667,14.946666666666667
-16.32,-1.7733333333333334,15.000000000000002
-16.240000000000002,-1.8266666666666669,15.040000000000001
-16.173333333333336,-1.6533333333333335,15.013333333333334
-16.133333333333333,-1.84,14.986666666666668
